,Title,Address,Area,Bedrooms,Bathrooms,Garage Cars,Rent,Condominium
0,"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Doutor Eduardo de Souza Aranha, 140 - Vila Nova Conceição, São Paulo - SP",100 m²,3 Quartos,3 Banheiros,1 Vaga,R$ 8.500 /mês,R$ 600
1,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Álvaro de Carvalho, 134 - Centro, São Paulo - SP",70 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.100 /mês,R$ 780
2,"Apartamento com 2 Quartos para Aluguel, 110m²","Avenida dos Eucaliptos, 113 - Moema, São Paulo - SP",110 m²,2 Quartos,3 Banheiros,2 Vagas,R$ 4.200 /mês,R$ 1.400
3,"Apartamento com Quarto para Aluguel, 39m²","Rua José Getúlio, 109 - Liberdade, São Paulo - SP",39 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.700 /mês,R$ 540
4,"Apartamento com Quarto para Aluguel, 45m²","Rua Barão de Jaceguai, 1274 - Campo Belo, São Paulo - SP",45 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.950 /mês,R$ 580
5,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Araçoiaba, 30 - Vila do Bosque, São Paulo - SP",70 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 3.200 /mês,R$ 700
6,"Apartamento com Quarto para Aluguel, 20m²","Rua Doutor Corinto Baldoino Costa, 42 - Tatuapé, São Paulo - SP",20 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.240 /mês,R$ 117
7,"Apartamento com Quarto para Aluguel, 48m²","Rua Oscar Caravelas, 280 - Vila Madalena, São Paulo - SP",48 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.200 /mês,R$ 982
8,"Apartamento com 2 Quartos para Aluguel, 61m²","Avenida Mofarrej - Vila Leopoldina, São Paulo - SP",61 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.900 /mês,R$ 650
9,"Apartamento com 3 Quartos para Aluguel, 125m²","Rua Pedroso Alvarenga, 271 - Itaim Bibi, São Paulo - SP",125 m²,3 Quartos,4 Banheiros,2 Vagas,R$ 9.500 /mês,R$ 1.850
10,"Apartamento com Quarto para Aluguel, 100m²","Alameda Itu, 859 - Jardim Paulista, São Paulo - SP",100 m²,1 Quarto,2 Banheiros,1 Vaga,R$ 3.750 /mês,R$ 1.200
11,"Apartamento com 2 Quartos para Aluguel, 74m²","Rua Francisco José da Silva, 292 - Vila Andrade, São Paulo - SP",74 m²,2 Quartos,2 Banheiros,2 Vagas,R$ 2.900 /mês,R$ 660
