,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Rent (R$),Condominium Fee (R$),Total Value (R$),Value per m²
0,Vila Nova Conceição,100,3,3,1,8500,600,9100,91.0
1,Centro,70,2,2,1,2100,780,2880,41.142857
2,Moema,110,2,3,2,4200,1400,5600,50.909092
3,Liberdade,39,1,1,1,2700,540,3240,83.07692
4,Campo Belo,45,1,1,1,1950,580,2530,56.22222
5,Outro,70,2,2,1,3200,700,3900,55.714287
6,Tatuapé,20,1,1,0,1240,117,1357,67.85
7,Vila Madalena,48,1,1,1,2200,982,3182,66.291664
8,Vila Leopoldina,61,2,2,1,2900,650,3550,58.19672
9,Itaim Bibi,125,3,4,2,9500,1850,11350,90.8
10,Jardim Paulista,100,1,2,1,3750,1200,4950,49.5
11,Vila Andrade,74,2,2,2,2900,660,3560,48.10811
12,Outro,55,2,1,1,1490,0,1490,27.09091
13,Moema,144,4,6,2,5700,1640,7340,50.97222
14,Jardins,72,2,2,1,5700,1123,6823,94.763885
15,Jardim Marajoara,72,1,1,1,1495,720,2215,30.76389
16,Chácara Santo Antônio,240,5,5,4,13000,3300,16300,67.916664
17,Perdizes,65,2,1,2,1700,800,2500,38.46154
18,Outro,76,2,2,1,2350,1050,3400,44.736843
19,Vila Clementino,34,1,1,1,1750,505,2255,66.32353
20,Pinheiros,240,4,5,3,12000,2995,14995,62.479168
21,Jardim Paulista,168,3,3,2,22000,2766,24766,147.41667
22,Indianópolis,36,1,1,0,3200,450,3650,101.388885
23,Vila Uberabinha,245,4,4,4,22000,3940,25940,105.87755
24,Indianópolis,70,2,2,1,2400,907,3307,47.24286
25,Jardim Paulista,57,1,1,1,3380,1600,4980,87.36842
26,Outro,75,3,2,1,2100,0,2100,28.0
27,Consolação,50,1,1,0,2000,600,2600,52.0
28,Vila Mariana,44,1,1,0,1800,410,2210,50.227272
29,Vila Mariana,54,2,1,1,2300,630,2930,54.25926
30,Outro,66,1,2,1,2780,750,3530,53.484848
31,Outro,60,2,1,1,2000,550,2550,42.5
32,Itaim Bibi,205,3,4,2,7900,2380,10280,50.146343
33,Indianópolis,31,1,1,1,1260,1700,2960,95.48387
34,Itaim Bibi,100,3,3,1,2700,1300,4000,40.0
35,Jardim Paulista,200,3,4,4,23000,4800,27800,139.0
36,Pinheiros,35,1,1,1,3800,548,4348,124.22857
37,Brás,36,1,1,1,1900,420,2320,64.44444
38,Brás,29,1,1,0,1200,380,1580,54.482758
39,Vila Leopoldina,68,3,2,1,2350,780,3130,46.02941
40,Itaim Bibi,75,1,1,1,5000,1800,6800,90.666664
41,Outro,60,2,2,1,2500,550,3050,50.833332
42,Outro,60,2,2,1,3500,800,4300,71.666664
43,Indianópolis,75,2,2,1,2400,1093,3493,46.573334
44,Brooklin,68,2,2,1,2665,1032,3697,54.367645
45,Paraíso,240,4,6,3,10500,3540,14040,58.5
46,Itaim Bibi,95,2,1,0,4199,925,5124,53.936844
47,Jardim Paulista,77,2,2,1,5900,900,6800,88.31169
48,Brooklin,50,1,2,1,2100,730,2830,56.6
49,Santa Cecília,105,3,2,1,3000,1250,4250,40.47619
50,Consolação,50,2,1,1,1700,650,2350,47.0
51,Moema,65,2,1,1,3800,410,4210,64.76923
52,Brás,56,2,2,1,3000,500,3500,62.5
53,Cerqueira César,69,2,2,2,2800,1100,3900,56.52174
54,Outro,100,4,2,1,3200,1100,4300,43.0
55,Barra Funda,65,2,2,1,2000,780,2780,42.76923
56,Jardim Paulista,45,1,1,1,3900,760,4660,103.55556
57,Barra Funda,60,2,2,1,2100,506,2606,43.433334
58,Moema,48,1,1,1,5000,780,5780,120.416664
59,Outro,65,2,1,1,1200,300,1500,23.076923
60,Outro,55,3,1,1,1650,547,2197,39.945454
61,Tatuapé,97,3,2,1,3000,0,3000,30.927835
62,República,380,4,6,1,10000,2800,12800,33.68421
63,Santana,45,1,1,0,1900,713,2613,58.066666
64,Água Branca,90,2,2,1,1700,800,2500,27.777779
65,Chácara Santo Antônio,30,1,1,0,1656,900,2556,85.2
66,Jardim Paulista,114,3,5,1,4990,1850,6840,60.0
67,Perdizes,115,2,2,1,2599,1157,3756,32.66087
68,Vila Olímpia,52,1,2,1,6900,1100,8000,153.84616
69,Cerqueira César,90,2,2,2,7300,1300,8600,95.55556
70,Centro,56,1,1,0,1600,0,1600,28.571428
71,Brooklin,47,1,1,1,2800,536,3336,70.97872
72,Outro,105,2,4,3,3800,1600,5400,51.42857
73,Vila Madalena,77,2,2,1,2400,795,3195,41.493507
74,Higienópolis,62,2,1,0,1811,689,2500,40.322582
75,Sumaré,74,2,3,2,5900,850,6750,91.21622
76,Consolação,50,1,1,0,2125,475,2600,52.0
77,Vila Nova Conceição,78,1,2,2,8800,2308,11108,142.41026
78,Jardim Paulista,75,2,2,1,3000,1200,4200,56.0
79,Perdizes,21,1,1,0,1100,250,1350,64.28571
80,Outro,50,2,1,1,2000,500,2500,50.0
81,Saúde,70,3,2,1,2100,901,3001,42.87143
82,Jardins,62,2,1,0,1900,640,2540,40.967743
83,Vila Mariana,48,1,1,0,1350,530,1880,39.166668
84,Vila Clementino,121,3,5,2,3900,1683,5583,46.140495
85,Higienópolis,127,3,2,1,3000,900,3900,30.708662
86,Vila Mariana,131,3,2,1,3300,1480,4780,36.48855
87,Tatuapé,20,1,1,0,1240,117,1357,67.85
88,Outro,47,2,1,1,1250,380,1630,34.68085
89,Centro,51,1,1,0,2050,350,2400,47.058823
90,Outro,118,3,4,2,5000,1642,6642,56.288136
91,Bela Vista,38,1,1,0,1508,439,1947,51.236843
92,Vila Leopoldina,56,2,2,1,3400,535,3935,70.26786
93,Barra Funda,38,1,1,1,1500,479,1979,52.07895
94,Liberdade,20,1,1,0,2450,0,2450,122.5
95,Vila Olímpia,64,2,2,1,4490,840,5330,83.28125
96,Paraíso,17,1,1,0,2150,360,2510,147.64706
97,Outro,79,2,2,2,2800,700,3500,44.3038
98,Mirandópolis,37,1,1,1,2700,450,3150,85.13513
99,Alto da Lapa,105,3,3,1,2900,867,3767,35.87619
100,Moema,75,2,3,2,6000,960,6960,92.8
101,Outro,141,3,4,2,3700,1700,5400,38.29787
102,Chácara Santo Antônio,40,1,1,1,3000,590,3590,89.75
103,Outro,54,1,1,1,2000,550,2550,47.22222
104,Vila Nova Conceição,48,1,1,1,5200,1462,6662,138.79167
105,Outro,67,2,2,1,2600,819,3419,51.02985
106,Pinheiros,30,1,1,1,2200,450,2650,88.333336
107,Pinheiros,90,3,3,2,6300,1100,7400,82.22222
108,Outro,75,2,2,1,1500,651,2151,28.68
109,Centro,50,1,1,0,1100,500,1600,32.0
110,Butantã,72,3,1,1,1500,618,2118,29.416666
111,Itaim Bibi,78,2,2,1,7300,1735,9035,115.833336
112,Vila Prudente,80,2,2,1,1800,798,2598,32.475
113,Cerqueira César,60,2,1,1,1800,977,2777,46.283333
114,Vila Mariana,110,3,3,1,5900,990,6890,62.636364
115,Brooklin,35,1,1,1,1570,530,2100,60.0
116,Indianópolis,92,3,3,1,3000,790,3790,41.195652
117,Outro,97,2,3,2,2350,1230,3580,36.907215
118,Outro,52,2,1,1,1000,424,1424,27.384615
119,Jardim Paulista,50,1,1,1,2500,603,3103,62.06
120,Campo Belo,47,1,1,1,3250,800,4050,86.17021
121,Moema,115,2,1,1,8500,1239,9739,84.68696
122,Santana,66,1,2,1,3400,780,4180,63.333332
123,Outro,101,3,4,2,3300,950,4250,42.07921
124,Outro,274,4,5,3,7500,3434,10934,39.90511
125,Higienópolis,35,1,1,1,1750,519,2269,64.828575
126,Morumbi,47,1,1,0,1199,420,1619,34.446808
127,Itaim Bibi,117,2,2,1,7750,1190,8940,76.410255
128,Outro,47,1,1,1,1000,0,1000,21.276596
129,Outro,76,3,2,1,1800,724,2524,33.210526
130,Outro,50,2,1,1,2000,480,2480,49.6
131,Santo Amaro,85,3,2,2,4200,0,4200,49.411766
132,Itaim Bibi,118,2,2,1,6000,1650,7650,64.830505
133,República,400,4,5,1,5000,3000,8000,20.0
134,Vila Buarque,40,1,1,1,2500,450,2950,73.75
135,Bela Vista,64,2,1,1,2000,615,2615,40.859375
136,Jardim Paulista,105,2,2,1,5000,1100,6100,58.095238
137,Vila Mariana,110,3,2,1,3200,1150,4350,39.545456
138,Pompeia,48,1,1,1,2300,650,2950,61.458332
139,Outro,65,3,1,1,1200,580,1780,27.384615
140,Outro,50,2,1,1,1950,330,2280,45.6
141,Consolação,35,1,1,1,3000,600,3600,102.85714
142,Vila Mariana,100,3,4,3,3100,1340,4440,44.4
143,Outro,65,2,2,1,2800,691,3491,53.70769
144,Vila Anastácio,62,2,3,1,3000,453,3453,55.69355
145,Pompeia,46,1,1,1,2300,586,2886,62.739132
146,Cidade Monções,44,1,2,1,2000,616,2616,59.454544
147,Móoca,62,2,2,1,2100,458,2558,41.258064
148,Aclimação,45,1,1,0,2400,0,2400,53.333332
149,Brooklin,96,2,3,2,8250,1420,9670,100.729164
150,Outro,73,3,2,2,2100,605,2705,37.054794
151,Perdizes,170,4,5,3,8800,2200,11000,64.70588
152,Bela Vista,48,1,1,0,2600,0,2600,54.166668
153,Jaguaré,70,3,2,2,2300,700,3000,42.857143
154,Santa Cecília,255,3,3,3,8000,4900,12900,50.588234
155,Vila Carrão,16,1,1,0,550,90,640,40.0
156,Vila Olímpia,70,1,1,1,5800,0,5800,82.85714
157,Cerqueira César,28,1,1,0,2700,1000,3700,132.14285
158,Barra Funda,65,2,2,1,2100,511,2611,40.16923
159,Cerqueira César,111,3,3,1,3300,1699,4999,45.036037
160,Bela Vista,40,1,1,0,1600,408,2008,50.2
161,Vila Olímpia,83,2,2,1,2500,1572,4072,49.06024
162,Lapa,67,2,2,2,3500,490,3990,59.55224
163,Pinheiros,157,3,5,3,10000,2110,12110,77.13376
164,Jardim Paulista,52,1,1,0,2700,350,3050,58.653847
165,Outro,21,1,1,1,990,300,1290,61.42857
166,Outro,52,2,2,1,1900,0,1900,36.53846
167,Barra Funda,38,1,1,0,1700,377,2077,54.657894
168,Outro,45,1,1,0,1300,250,1550,34.444443
169,Liberdade,46,1,1,0,1500,333,1833,39.847828
170,Perdizes,140,3,3,2,4500,0,4500,32.142857
171,Outro,50,1,1,0,1750,100,1850,37.0
172,Paraíso,110,2,2,1,1875,605,2480,22.545454
173,Vila Olímpia,45,1,1,1,4380,700,5080,112.888885
174,Cidade Monções,65,3,2,2,2750,950,3700,56.923077
175,Perdizes,100,3,3,2,3400,1235,4635,46.35
176,Vila Clementino,110,3,3,2,2400,825,3225,29.318182
177,Barra Funda,33,1,1,0,1700,301,2001,60.636364
178,Perdizes,240,4,5,3,11000,3000,14000,58.333332
179,Itaim Bibi,50,1,1,1,2700,755,3455,69.1
180,Vila Prudente,75,3,2,1,3070,500,3570,47.6
181,Jardins,30,1,1,0,1700,440,2140,71.333336
182,Pinheiros,120,3,2,1,2500,0,2500,20.833334
183,Indianópolis,158,3,3,3,11000,2700,13700,86.70886
184,Liberdade,60,2,1,0,1900,690,2590,43.166668
185,Vila Sônia,48,2,1,1,1300,340,1640,34.166668
186,Pompeia,53,2,1,1,1650,757,2407,45.415092
187,Jardim Paulista,78,2,2,1,3200,0,3200,41.025642
188,Higienópolis,90,3,1,0,3000,0,3000,33.333332
189,Vila Mariana,65,2,2,1,1900,490,2390,36.76923
190,Consolação,50,1,1,0,2000,600,2600,52.0
191,Jabaquara,37,2,1,0,1295,0,1295,35.0
192,Consolação,27,1,1,0,1100,361,1461,54.11111
193,Jabaquara,20,1,1,0,1135,185,1320,66.0
194,Outro,65,2,1,1,1195,586,1781,27.4
195,Bela Vista,25,1,1,1,1700,600,2300,92.0
196,Pinheiros,75,2,2,0,2400,550,2950,39.333332
197,Vila Mariana,18,1,1,0,1600,0,1600,88.888885
198,Santa Cecília,50,1,1,0,1500,800,2300,46.0
199,Consolação,25,1,1,0,1951,380,2331,93.24
200,Outro,288,4,6,4,6500,0,6500,22.569445
201,Alto de Pinheiros,90,3,2,1,2800,825,3625,40.27778
202,Centro,37,1,1,1,2200,380,2580,69.72973
203,Cambuci,25,1,1,0,950,0,950,38.0
204,Outro,207,5,6,3,9500,2100,11600,56.038647
205,Vila Anastácio,157,4,5,3,8500,1300,9800,62.420383
206,Outro,59,2,1,1,900,265,1165,19.745762
207,Ipiranga,25,1,1,0,800,100,900,36.0
208,Outro,45,2,1,1,900,0,900,20.0
209,Outro,20,1,1,0,890,0,890,44.5
210,Outro,65,2,1,1,1800,480,2280,35.076923
211,Vila Mariana,62,2,2,1,2250,700,2950,47.580647
212,Jardim Anália Franco,100,3,3,2,6390,1040,7430,74.3
213,Perdizes,110,3,3,1,3500,1700,5200,47.272728
214,Outro,56,2,2,1,2000,250,2250,40.17857
215,Sumaré,50,1,1,1,2000,780,2780,55.6
216,Santa Cecília,70,2,2,1,2700,667,3367,48.1
217,Brooklin,84,2,3,2,7900,1100,9000,107.14286
218,Brooklin,55,1,1,1,1600,812,2412,43.854546
219,Jaguaré,82,3,3,2,4200,650,4850,59.146343
220,Perdizes,126,3,3,0,3000,1300,4300,34.126984
221,Outro,42,1,2,1,1000,622,1622,38.61905
222,Liberdade,30,1,1,0,500,360,860,28.666666
223,Pinheiros,32,1,1,1,2500,800,3300,103.125
224,Perdizes,110,3,3,3,2900,2150,5050,45.909092
225,Tatuapé,80,2,1,0,1390,280,1670,20.875
226,Vila Mascote,120,2,4,3,3500,2200,5700,47.5
227,Morumbi,100,2,2,2,3000,1200,4200,42.0
228,Outro,45,2,1,1,700,0,700,15.555555
229,Tatuapé,20,1,1,0,950,0,950,47.5
230,Vila Mariana,104,3,2,1,2500,1200,3700,35.576923
