,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Condominium Fee (R$),Rent (R$)
0,26,85,2,2,1,1170,4485
1,13,40,1,1,0,500,1600
2,16,90,2,2,1,765,4100
3,2,65,2,2,1,800,3300
4,9,90,2,2,2,1300,7300
5,29,70,3,2,1,420,1890
6,29,60,2,2,1,864,1500
7,3,45,1,1,1,870,2000
8,3,55,1,1,1,1070,6000
9,28,93,3,2,2,1200,2200
10,43,88,3,3,2,674,2700
11,10,48,1,1,1,326,2250
12,38,85,3,2,1,780,2000
13,5,72,3,1,1,618,1500
14,29,100,2,2,1,700,2500
15,38,59,2,1,1,400,1600
16,31,84,2,2,2,850,4000
17,44,172,3,4,3,1700,6200
18,29,20,1,1,0,40,1220
19,29,45,2,1,1,450,1500
20,32,44,1,1,1,0,3500
21,29,72,3,2,2,730,3200
22,1,33,1,1,0,301,1700
23,29,31,1,1,1,528,2420
24,29,165,4,2,3,1411,5600
25,29,70,2,2,1,0,2000
26,46,50,1,2,1,862,2800
27,11,70,1,1,1,994,5500
28,32,51,2,1,1,800,2970
29,15,125,3,4,2,1030,6000
30,3,44,1,1,1,585,3585
31,29,74,3,2,2,590,3500
32,26,100,3,4,1,1300,4500
33,39,65,3,1,1,610,2400
34,30,39,1,1,1,875,1700
35,42,94,3,4,2,1300,5000
36,42,112,3,3,1,1050,2700
37,49,120,3,3,2,1160,4500
38,29,32,2,1,0,187,1200
39,26,68,2,2,2,1222,4000
40,47,83,2,2,2,699,4500
41,0,52,1,1,0,645,1800
42,30,102,3,2,1,1325,3800
43,25,38,1,1,1,943,1000
44,32,53,2,1,1,643,3300
45,38,105,4,1,2,700,4200
46,15,40,1,1,1,435,1400
47,29,74,3,1,1,500,2500
48,1,65,2,2,1,680,2100
49,29,50,2,1,0,90,1200
50,17,38,1,1,1,349,1700
51,35,49,2,1,1,480,2500
52,3,113,3,2,2,970,3300
53,6,100,3,2,1,1600,1200
54,29,65,2,2,1,324,2250
55,32,140,3,2,2,650,5000
56,10,57,2,1,1,550,4200
57,10,135,4,4,2,805,6800
58,31,60,2,2,1,797,2300
59,28,34,1,1,0,270,2100
60,8,72,2,1,0,500,1800
61,31,76,3,3,3,1540,2600
62,44,82,3,2,2,950,3300
63,15,135,4,5,2,1450,4200
64,2,40,1,1,1,490,2500
65,26,60,1,2,1,843,4100
66,29,110,3,5,2,1100,3300
67,21,45,1,1,1,760,3900
68,0,70,1,2,1,763,2200
69,49,36,1,1,1,0,3300
70,10,50,2,1,2,671,3500
71,29,50,1,1,1,1376,3500
72,29,90,2,2,0,250,1550
73,29,97,2,2,2,1300,4300
74,35,50,1,1,0,550,1850
75,11,38,1,1,1,550,3300
76,29,68,2,1,1,880,1500
77,26,72,2,3,2,867,3700
78,29,50,2,2,1,600,850
79,40,60,2,1,1,300,1800
80,45,24,1,1,0,525,2300
81,2,46,1,1,1,381,3100
82,29,30,1,1,0,150,1350
83,5,70,3,1,1,780,1700
84,32,35,1,1,1,500,3500
85,29,40,1,1,1,360,640
86,39,26,1,1,1,480,1700
87,29,38,2,1,1,100,1600
88,36,85,2,1,0,160,1300
89,29,78,2,2,1,0,5000
90,24,65,2,2,1,550,3400
91,16,98,2,3,1,1174,4900
92,3,185,3,2,2,1008,4685
93,26,110,3,2,2,1055,3995
94,37,58,1,2,0,500,3300
95,46,41,1,2,1,490,2000
96,32,48,1,1,1,680,3500
97,26,80,3,2,1,810,3600
98,34,170,2,1,0,650,2600
99,32,71,2,2,1,800,5000
100,29,73,3,2,2,700,2950
101,44,35,1,1,0,300,2200
102,23,62,2,3,1,580,2800
103,9,30,1,1,0,385,2300
104,34,35,1,1,0,555,1300
105,28,63,3,1,1,450,2500
106,29,52,2,1,1,270,1600
107,36,123,3,2,2,994,4500
108,29,43,2,1,1,348,1100
109,32,53,2,2,1,800,4200
110,29,124,3,2,0,300,1900
111,45,57,2,2,1,1056,2600
112,29,60,2,2,1,584,3200
113,10,130,3,4,2,855,6500
114,31,127,3,2,2,1331,7500
115,15,141,3,5,3,1466,6100
116,29,54,2,1,1,180,1100
117,46,81,2,3,2,1440,3100
118,29,18,1,1,0,0,1500
119,3,49,1,1,1,900,3500
120,48,128,3,2,1,1428,5300
121,24,43,2,1,1,450,1600
122,36,44,1,1,1,600,1600
123,7,70,2,1,1,750,2700
124,46,28,2,2,0,635,2550
125,5,60,2,1,1,730,1350
126,46,45,2,1,1,640,1800
127,31,68,2,2,2,1174,3000
128,32,60,2,1,0,430,1950
129,2,48,1,1,1,580,2000
130,29,62,2,1,1,535,1200
131,12,70,2,1,1,883,1400
132,10,51,2,2,1,625,2800
133,29,70,2,2,1,1075,2400
134,0,98,3,2,1,1310,3850
135,29,40,2,1,0,100,900
136,29,64,2,2,2,970,2270
137,4,58,2,1,1,452,1200
138,29,74,2,3,2,880,5500
139,21,90,2,1,1,1300,3200
140,29,90,2,2,0,250,1950
141,8,55,2,1,0,550,1800
142,29,76,3,3,2,816,1850
143,31,80,2,2,1,998,2700
144,48,79,2,1,1,834,4000
145,3,50,1,2,1,651,3150
146,29,52,1,1,0,290,1400
147,21,45,1,1,1,950,3000
148,29,40,2,1,1,0,1500
149,24,58,2,2,1,555,1800
150,29,60,2,1,1,904,1800
151,3,55,2,2,1,548,2800
152,50,30,1,1,1,445,1700
153,38,69,2,2,1,680,2200
154,4,90,2,2,0,290,1300
155,29,61,2,2,1,650,2500
156,2,80,2,1,1,846,4360
157,7,50,1,1,1,651,1700
158,16,85,2,2,1,0,6000
159,46,50,1,2,1,856,2800
160,32,40,1,1,2,910,3900
161,12,53,1,1,1,1700,2000
162,48,100,3,3,1,600,8500
163,46,56,2,2,2,799,2500
164,0,37,1,1,1,530,2260
165,5,44,2,1,1,550,3000
166,18,70,3,2,2,705,2400
167,50,50,2,1,0,160,1150
168,26,80,2,2,1,911,3485
169,9,88,4,2,0,824,2800
170,7,51,1,1,1,590,3200
171,42,98,3,3,2,966,4600
172,13,115,3,2,1,1451,3590
173,8,40,1,1,0,300,900
